Element, g_offsets
0, 0
1, 256
2, 414
3, 466
4, 532
5, 532
6, 532
7, 532
8, 532
9, 532
10, 532
11, 532
12, 532
13, 532
14, 532
15, 532
16, 532
17, 532
18, 532
19, 532
20, 532
21, 532
22, 532
23, 532
24, 532
25, 532
26, 532
27, 532
28, 532
29, 532
30, 532
31, 532
32, 532
33, 532
34, 532
35, 532
36, 532
37, 532
38, 532
39, 532
40, 532
41, 532
42, 532
43, 532
44, 532
45, 532
46, 532
47, 532
48, 532
49, 532
50, 532
51, 532
52, 532
53, 532
54, 532
55, 532
56, 532
57, 532
58, 532
59, 537
60, 537
61, 537
62, 537
63, 537
64, 537
65, 537
66, 541
67, 543
68, 543
69, 543
70, 543
71, 543
72, 543
73, 543
74, 543
75, 543
76, 543
77, 543
78, 543
79, 543
80, 543
81, 543
82, 543
83, 543
84, 543
85, 543
86, 545
87, 545
88, 545
89, 545
90, 545
91, 545
92, 545
93, 545
94, 545
95, 545
96, 545
97, 545
98, 546
99, 546
100, 546
101, 546
102, 546
103, 546
104, 546
105, 546
106, 546
107, 546
108, 546
109, 546
110, 546
111, 546
112, 546
113, 546
114, 546
115, 546
116, 546
117, 546
118, 546
119, 546
120, 546
121, 546
122, 546
123, 546
124, 546
125, 546
126, 546
127, 546
128, 546
129, 546
130, 546
131, 546
132, 557
133, 557
134, 557
135, 557
136, 557
137, 557
138, 557
139, 557
140, 557
141, 557
142, 557
143, 557
144, 557
145, 557
146, 557
147, 557
148, 557
149, 557
150, 557
151, 557
152, 557
153, 557
154, 557
155, 557
156, 557
157, 557
158, 557
159, 557
160, 557
161, 557
162, 557
163, 557
164, 557
165, 557
166, 557
167, 557
168, 557
169, 557
170, 557
171, 557
172, 557
173, 557
174, 557
175, 557
176, 557
177, 557
178, 557
179, 557
180, 557
181, 557
182, 557
183, 557
184, 557
185, 557
186, 557
187, 557
188, 557
189, 557
190, 557
191, 557
192, 557
193, 557
194, 559
195, 566
196, 566
197, 566
198, 566
199, 566
200, 566
201, 566
202, 566
203, 566
204, 566
205, 566
206, 566
207, 566
208, 566
209, 566
210, 566
211, 566
212, 566
213, 566
214, 566
215, 566
216, 566
217, 566
218, 566
219, 566
220, 566
221, 566
222, 566
223, 566
224, 566
225, 566
226, 566
227, 566
228, 566
229, 566
230, 566
231, 566
232, 566
233, 566
234, 566
235, 566
236, 566
237, 566
238, 566
239, 566
240, 566
241, 566
242, 566
243, 566
244, 566
245, 566
246, 566
247, 566
248, 566
249, 566
250, 566
251, 566
252, 566
253, 566
254, 566
255, 566
256, 0
257, 0
258, 24
259, 80
260, 128
261, 128
262, 128
263, 128
264, 128
265, 128
266, 128
267, 128
268, 128
269, 128
270, 128
271, 128
272, 128
273, 128
274, 128
275, 128
276, 128
277, 128
278, 128
279, 128
280, 128
281, 128
282, 128
283, 128
284, 128
285, 128
286, 128
287, 128
288, 128
289, 128
290, 128
291, 128
292, 128
293, 128
294, 128
295, 128
296, 128
297, 128
298, 128
299, 128
300, 128
301, 128
302, 128
303, 128
304, 128
305, 128
306, 128
307, 130
308, 130
309, 130
310, 130
311, 130
312, 130
313, 130
314, 130
315, 130
316, 130
317, 130
318, 130
319, 130
320, 130
321, 130
322, 130
323, 135
324, 135
325, 135
326, 135
327, 135
328, 135
329, 135
330, 135
331, 135
332, 135
333, 135
334, 135
335, 135
336, 135
337, 135
338, 135
339, 135
340, 135
341, 135
342, 135
343, 135
344, 135
345, 135
346, 135
347, 135
348, 135
349, 135
350, 135
351, 135
352, 135
353, 135
354, 135
355, 135
356, 135
357, 135
358, 135
359, 135
360, 135
361, 135
362, 135
363, 135
364, 135
365, 135
366, 135
367, 135
368, 135
369, 135
370, 135
371, 135
372, 135
373, 135
374, 135
375, 135
376, 135
377, 135
378, 135
379, 135
380, 135
381, 135
382, 135
